@relation relationship 
-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.999998,-1.0,1.0,0.963786,1.0,-0.998622,1.0,-1.0,-1.0,1.0,-0.613166,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.987482,1.0,1.0,-1.0,-0.997439,-0.999972,-1.0,1.0,1.0,-1.0,-1.0,0.996285,1.0,-1.0,-1.0,-0.999999,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.998961,1.0,-1.0,-1.0,-1.0,0.999993,-1.0,1.0,0.999971,1.0,-1.0,1.0,-0.999999,-1.0,1.0,-0.999993,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,0.998424,-0.954895,-0.999998,1.0,1.0,-0.353156,-1.0,-1.0,1.0,-1.0,1.0,0.951682,-1.0,1.0,-1.0,-0.922547,-0.388814,1.0,-1.0,-0.9981,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-0.999996,-0.999962,-0.998229,1.0,1.0,1.0,-1.0,1.0,0.976661,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.998665,1.0,1.0,1.0,-1.0,-1.0,1.0,-0.999982,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,0.99975,-1.0,1.0,1.0,-0.0155268,1.0,-0.831268,-1.0,-1.0,0.0724617,-1.0,-1.0,-1.0,1.0,-1.0,-0.986551,1.0,1.0,1.0,1.0,-1.0,0.999952,0.999995,-1.0,-1.0,0.295966,1.0,0.99896,-0.99999,1.0,-1.0,1.0,1.0,-1.0,1.0,-0.974913,0.879894,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-0.988113,-1.0,1.0,-1.0,1.0,1.0,-1.0,-0.704837,1.0,-0.990831,1.0,0.999987,1.0,0.999999,1.0,1.0,-1.0,-0.997155,1.0,0.99999,-1.0,0.99566,0.221375,0.966413,-1.0,0.459119,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.903134,-1.0,-1.0,0.698899,-1.0,-1.0,-0.999994,1.0,-1.0,1.0,-1.0,-0.997575,1.0,1.0,0.998983,-1.0,-1.0,-1.0,-1.0,-1.0,-0.432879,1,0,1,0,0,0
-0.999999,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999826,-0.826411,1.0,0.994447,-1.0,-1.0,-0.999997,-1.0,1.0,0.999904,1.0,-0.999814,-0.999974,-0.375984,-0.999461,-1.0,0.915182,1.0,1.0,-1.0,1.0,-1.0,-0.99998,1.0,0.985339,-1.0,-0.999998,1.0,-1.0,0.999956,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,0.999815,1.0,-1.0,0.975123,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,0.999999,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-0.951159,1.0,0.403444,-1.0,1.0,-1.0,-0.999908,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-0.978791,1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.999999,1.0,-1.0,-1.0,0.995063,-1.0,1.0,-1.0,-0.999946,1.0,1.0,-1.0,1.0,-0.435986,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-0.99997,-0.99192,1.0,-1.0,1.0,-1.0,1.0,0.941549,-1.0,1.0,1.0,1.0,-0.99997,-0.999813,0.994721,-1.0,1.0,-0.999695,1.0,-1.0,-1.0,1.0,-0.471933,-1.0,1.0,1.0,0.997299,0.9992,-1.0,1.0,-0.88491,-1.0,1.0,1.0,1.0,1.0,-0.999999,-1.0,-1.0,0.999987,-1.0,-1.0,0.962444,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.997892,-1.0,-1.0,-0.998908,1.0,0.99993,-0.764607,1.0,0.998189,-0.99937,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.996322,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.999958,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,0.998489,1.0,0.643521,-1.0,0.970162,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-0.992661,1.0,1.0,1.0,-1.0,0.999532,0.114445,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.965944,-1.0,1.0,-1.0,0.983794,-1.0,-1.0,-1.0,0.999999,-1.0,0.9999,-1.0,-1.0,0.999872,1.0,0.999978,-0.953514,-1.0,-0.294202,-1.0,-1.0,0.999998,1,0,1,0,0,0
-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.999874,1.0,1.0,-1.0,1.0,0.998968,-0.983603,-1.0,0.990805,-0.999859,1.0,1.0,1.0,-1.0,-0.964953,1.0,-0.754115,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-0.913282,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-0.999889,-1.0,1.0,1.0,-1.0,-1.0,-0.996749,1.0,-1.0,0.999916,-1.0,1.0,-0.99995,1.0,1.0,-1.0,-1.0,-1.0,-0.999982,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-0.984167,-1.0,1.0,-1.0,0.839824,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-0.981911,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-0.994326,1.0,-1.0,-0.999952,-0.99977,-0.999974,1.0,-1.0,0.993033,1.0,1.0,-1.0,0.999957,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.212733,1.0,1.0,-1.0,-1.0,-0.650395,1.0,1.0,-0.999835,1.0,-1.0,1.0,0.994869,-1.0,1.0,1.0,1.0,-0.999994,0.995903,-0.982176,-1.0,1.0,0.990008,1.0,-1.0,-1.0,1.0,0.917255,-1.0,1.0,1.0,-0.999367,-1.0,-1.0,1.0,-0.99689,-1.0,1.0,1.0,1.0,1.0,-0.999991,-1.0,-1.0,-0.851491,-1.0,-1.0,-1.0,1.0,-1.0,-0.999999,1.0,1.0,1.0,1.0,-1.0,0.999998,1.0,-1.0,-1.0,1.0,1.0,0.999889,-1.0,1.0,-0.971874,0.992439,1.0,-0.999704,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999954,1.0,1.0,-1.0,-1.0,-0.999383,-1.0,1.0,-1.0,0.967638,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-0.999846,1.0,-0.999999,-0.613544,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-0.999458,1.0,1.0,1.0,-1.0,0.999994,0.999982,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.99999,1.0,-1.0,-0.999854,0.989164,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-0.98595,1.0,1.0,0.999929,-1.0,-1.0,0.998553,-1.0,-1.0,1.0,1,0,0,0,0,0
-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-0.999997,1.0,-1.0,-1.0,0.866149,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,0.992163,-1.0,0.971223,0.99998,-1.0,-0.503839,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-0.168553,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.992144,1.0,-1.0,-1.0,-1.0,-0.999999,-1.0,1.0,1.0,1.0,-1.0,1.0,-0.879761,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,0.958736,-0.0930576,-1.0,1.0,-0.999885,-0.999962,-1.0,-0.999973,1.0,-1.0,0.21041,1.0,-1.0,0.999999,-1.0,-0.999968,0.999999,1.0,-1.0,-0.999699,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.999986,1.0,1.0,-1.0,-1.0,0.985857,-1.0,0.998333,0.999137,1.0,-1.0,1.0,0.934805,-1.0,1.0,1.0,1.0,-0.999315,-0.936671,1.0,0.704612,1.0,0.999999,1.0,-1.0,-1.0,1.0,-0.992185,-1.0,1.0,0.999986,0.446184,-0.874791,-1.0,1.0,-0.293373,-1.0,1.0,1.0,1.0,1.0,0.352354,-0.999552,-1.0,0.764269,-1.0,-1.0,-0.999997,1.0,-1.0,-1.0,1.0,1.0,1.0,0.999967,-1.0,-0.989447,1.0,-1.0,-1.0,-0.99999,0.999958,-0.928145,-0.989245,1.0,-1.0,0.984478,1.0,-1.0,1.0,0.999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.809946,1.0,1.0,-1.0,-0.999973,-0.997823,-1.0,1.0,-1.0,0.894456,1.0,-1.0,1.0,1.0,-0.999839,1.0,-0.896067,1.0,1.0,1.0,0.999527,-1.0,0.677533,1.0,1.0,-1.0,-0.969336,1.0,-0.999474,-1.0,-0.809571,1.0,1.0,1.0,-1.0,0.994051,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.974148,0.040156,-0.464027,-1.0,0.994031,-0.999867,-1.0,-1.0,0.994247,-1.0,1.0,-1.0,0.972601,0.999981,1.0,0.99982,-1.0,-1.0,-1.0,-1.0,-1.0,0.999664,1,0,0,0,0,0
-1.0,-1.0,-1.0,1.0,1.0,0.992134,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-0.9998,1.0,0.999999,1.0,0.902258,-0.683968,1.0,-0.999988,-1.0,1.0,0.99597,1.0,-1.0,1.0,-0.698005,-1.0,1.0,1.0,1.0,-1.0,1.0,-0.999961,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,0.999614,1.0,-1.0,-1.0,-1.0,-0.860525,-1.0,1.0,1.0,1.0,-1.0,0.964645,-1.0,-1.0,1.0,-1.0,0.999863,-1.0,1.0,-1.0,-1.0,-1.0,0.999999,-0.999969,1.0,1.0,1.0,0.998155,-1.0,-0.999994,-0.970335,1.0,-1.0,1.0,-1.0,-0.779214,-0.658024,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-0.817803,1.0,-0.131764,1.0,1.0,-1.0,-1.0,0.231284,-0.883803,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,0.999978,-1.0,1.0,0.96443,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,0.981466,1.0,1.0,-0.999999,-1.0,-1.0,-1.0,-1.0,0.999995,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,0.99866,1.0,-1.0,-1.0,-0.999993,1.0,-1.0,-0.999056,1.0,-1.0,1.0,1.0,-0.956642,1.0,1.0,0.999997,1.0,1.0,1.0,1.0,1.0,1.0,-0.0207132,0.227221,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.997412,1.0,-0.974264,-0.999484,0.999769,1.0,1.0,-1.0,-0.999992,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,0.440928,-1.0,1.0,-1.0,-1.0,-1.0,-0.320828,-1.0,-1.0,-1.0,-1.0,-1.0,-0.999997,1.0,0.613705,-1.0,0.992678,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-0.997566,1.0,1.0,0.922082,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,1,0,0,0
-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998038,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.977419,1.0,-0.612247,1.0,0.879727,-0.999999,1.0,-0.874781,-1.0,0.999992,0.993227,1.0,-1.0,1.0,-0.999561,-1.0,1.0,0.986187,-0.349258,-0.998591,0.999997,-0.999998,1.0,1.0,0.393722,-1.0,0.994594,1.0,-1.0,-1.0,-0.999971,0.999992,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.999882,1.0,-0.999997,1.0,-0.999955,-1.0,1.0,-1.0,0.989133,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,0.969652,-1.0,0.833432,0.999821,1.0,-1.0,-0.999979,-1.0,0.872586,0.999718,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-0.984922,1.0,0.999996,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,0.999659,-1.0,1.0,-1.0,1.0,0.99997,1.0,-1.0,-1.0,1.0,-0.999969,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,0.999988,0.99722,-1.0,-0.972533,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,0.999999,-1.0,-0.999952,1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.997655,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.999363,1.0,1.0,1.0,-0.999983,0.624407,1.0,-1.0,-1.0,-0.999998,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.970897,1.0,1.0,-0.999285,1.0,0.999977,1.0,-1.0,-0.960637,0.999995,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-0.999978,-1.0,1.0,-1.0,-1.0,-1.0,-0.999981,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.99983,-1.0,-0.644971,-0.999919,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-0.999963,1.0,1.0,0.999744,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,0,0,0,0,0
-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.476428,-1.0,1.0,0.41041,0.664685,-1.0,1.0,-0.999997,1.0,0.99863,1.0,-1.0,0.80022,0.999999,-1.0,-1.0,1.0,0.999999,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-0.998359,0.990451,-0.994332,-1.0,1.0,1.0,0.965365,-1.0,-0.999841,1.0,-1.0,-1.0,-0.667777,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.999996,1.0,-1.0,-1.0,-1.0,-1.0,-0.999997,1.0,1.0,1.0,-0.999979,0.948363,-0.999992,-1.0,1.0,-1.0,0.99567,-1.0,1.0,-1.0,-1.0,-1.0,1.0,0.999999,1.0,-0.999997,1.0,-1.0,-0.999988,-0.999994,1.0,1.0,-1.0,-0.94037,0.999088,-1.0,0.971265,-1.0,0.381978,1.0,1.0,-1.0,0.999937,-1.0,0.999998,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.999244,0.998713,-0.996539,0.998261,1.0,-1.0,1.0,-0.90791,-1.0,1.0,1.0,1.0,-0.971744,0.738776,0.999077,0.788687,1.0,0.999968,1.0,-1.0,-1.0,1.0,0.758711,-1.0,1.0,0.999228,-0.999938,0.997219,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.814859,-0.985056,-1.0,-0.802728,-1.0,-1.0,-0.999999,1.0,-1.0,-0.910952,1.0,1.0,1.0,0.999424,-1.0,-0.999997,0.999916,-1.0,-1.0,-0.910972,1.0,1.0,-0.818211,1.0,-1.0,1.0,1.0,-0.99863,1.0,0.999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.997375,1.0,1.0,-1.0,-1.0,-0.898637,-1.0,1.0,-1.0,0.999998,1.0,-1.0,1.0,1.0,-1.0,1.0,0.999914,1.0,-0.945273,1.0,-0.999979,-1.0,0.980252,1.0,1.0,-1.0,-0.935111,0.999985,-1.0,-1.0,0.999996,1.0,1.0,1.0,-1.0,-0.999998,-0.935936,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.999996,1.0,0.98873,-1.0,-1.0,0.987157,-1.0,-1.0,-0.48831,-1.0,1.0,-1.0,0.770535,1.0,1.0,0.99864,-1.0,-1.0,-0.999911,-1.0,-1.0,1.0,1,0,0,0,0,0
-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999791,-1.0,1.0,1.0,-1.0,-1.0,-0.818803,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-0.999997,-1.0,0.999958,1.0,1.0,-1.0,1.0,-0.999997,-1.0,0.882759,1.0,-0.995592,-0.992524,1.0,-1.0,0.391242,1.0,-0.999992,-1.0,0.997948,1.0,-1.0,-1.0,-0.999999,1.0,-1.0,0.998548,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.999999,1.0,-1.0,-1.0,-1.0,0.883523,-1.0,1.0,1.0,1.0,0.999843,0.999976,0.948833,-1.0,1.0,-1.0,-0.999796,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-0.997541,1.0,0.428328,1.0,-1.0,-1.0,-1.0,0.999966,1.0,-1.0,-1.0,-1.0,0.999985,-0.999979,-1.0,-0.984078,1.0,1.0,-1.0,0.999984,-1.0,0.999999,-1.0,-1.0,1.0,-0.999999,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,0.996795,-1.0,1.0,1.0,1.0,-0.999868,0.999925,0.998718,-1.0,1.0,0.723236,1.0,-1.0,-1.0,1.0,-0.318577,-1.0,1.0,0.999992,0.999996,0.948366,-1.0,1.0,-0.961066,-1.0,1.0,1.0,1.0,1.0,0.999372,-0.999999,-1.0,-0.872526,-1.0,-1.0,-0.999999,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-0.998404,1.0,-1.0,-1.0,-0.998241,1.0,1.0,-1.0,1.0,-0.999693,0.999954,1.0,0.999545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.934798,1.0,1.0,-1.0,-1.0,0.999951,-1.0,1.0,-1.0,0.51163,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,0.210358,1.0,-0.999275,-0.999999,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-0.991851,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.999053,1.0,1.0,-1.0,-0.769531,0.435116,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-0.999999,1.0,1.0,1.0,-1.0,-1.0,-0.999997,-1.0,-1.0,1.0,1,0,0,1,0,1
-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999988,-1.0,1.0,1.0,0.911625,-1.0,1.0,1.0,1.0,0.999979,0.999854,0.994784,0.775484,0.999999,0.873282,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-0.999994,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,0.952784,-1.0,1.0,1.0,-1.0,-1.0,0.127118,0.999999,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.998904,1.0,-1.0,-1.0,-1.0,0.893884,-1.0,1.0,1.0,1.0,-1.0,0.0597176,-0.949414,-1.0,1.0,-1.0,0.9998,-1.0,1.0,-1.0,-1.0,-1.0,1.0,0.84057,-0.966168,-0.999997,1.0,1.0,-1.0,-1.0,0.997172,1.0,-1.0,0.883442,1.0,-1.0,1.0,-1.0,0.417093,-0.900503,1.0,-1.0,0.999186,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.266195,-1.0,0.993377,1.0,1.0,-1.0,1.0,0.99999,-1.0,1.0,1.0,1.0,0.053014,0.999817,0.859075,-0.999999,1.0,-0.99997,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-0.999674,-1.0,1.0,1.0,-0.999975,1.0,-1.0,0.999895,-1.0,-0.726361,-1.0,-1.0,-1.0,1.0,-1.0,-0.524043,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.999768,1.0,-1.0,-0.999994,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,0.763905,1.0,1.0,1.0,1.0,1.0,1.0,0.998615,0.999769,1.0,-1.0,-1.0,-0.999962,-1.0,1.0,-1.0,0.999767,1.0,-1.0,1.0,1.0,0.999661,1.0,1.0,1.0,1.0,1.0,-0.999999,0.995974,0.994551,1.0,1.0,-1.0,-0.99968,0.99999,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,0.999942,-0.731815,-1.0,1.0,-1.0,-1.0,-1.0,0.994768,-1.0,-1.0,-1.0,-1.0,-1.0,0.977195,1.0,-0.965172,-1.0,0.999556,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.999986,1.0,-0.999998,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.551014,0,0,1,0,0,0
-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.972659,1.0,-1.0,1.0,-1.0,1.0,-0.998314,1.0,-1.0,-0.999341,0.993091,-0.995462,-1.0,1.0,1.0,1.0,-1.0,1.0,0.177084,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-0.935683,-1.0,1.0,1.0,-1.0,-1.0,1.0,-0.594195,-1.0,1.0,-1.0,1.0,-0.999128,1.0,1.0,-1.0,-1.0,-1.0,-0.999195,1.0,-1.0,-1.0,-1.0,-0.860073,-1.0,1.0,1.0,1.0,-1.0,1.0,0.997595,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,0.999486,1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.999965,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-0.998207,0.999919,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,0.999997,0.993657,1.0,0.937881,-1.0,-1.0,1.0,-1.0,-1.0,0.999986,1.0,-1.0,0.999998,-0.99989,-1.0,0.999975,1.0,1.0,0.999707,-1.0,-0.999995,0.999958,1.0,-0.999476,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-0.914878,-0.999979,-0.999927,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.998368,-1.0,-1.0,-1.0,1.0,-1.0,-0.999988,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.99869,-0.999954,-0.141424,1.0,-0.999998,0.998479,1.0,-1.0,1.0,0.999993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.992284,1.0,1.0,-1.0,-1.0,-0.999836,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-0.999959,1.0,0.999999,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-0.999126,0.999416,-1.0,1.0,-1.0,-1.0,-1.0,-0.999701,-1.0,-1.0,-1.0,-1.0,-1.0,0.996919,0.872798,-0.998166,-1.0,0.926515,0.999823,-1.0,-1.0,0.685468,-1.0,1.0,-1.0,1.0,-0.979109,-0.999917,-0.960032,-0.999995,-0.999998,-1.0,-1.0,-1.0,0.999988,1,0,1,0,0,0
-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.187149,-0.945057,1.0,0.997835,-0.999998,-1.0,1.0,-0.988421,1.0,-0.382261,0.999525,-0.999991,0.99372,1.0,-0.999983,-1.0,0.999997,0.999947,1.0,-1.0,1.0,-1.0,-1.0,0.999784,0.655277,-0.999996,-0.999987,0.998004,-1.0,1.0,1.0,0.979827,-1.0,0.999943,1.0,-1.0,-1.0,0.895977,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,0.423741,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-0.957867,0.99997,-1.0,1.0,-1.0,-0.999284,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-0.999974,1.0,-1.0,1.0,0.878825,-1.0,-1.0,1.0,1.0,-1.0,0.971871,-0.999325,-1.0,0.99992,-1.0,0.999999,1.0,1.0,-1.0,-0.369171,-0.679334,1.0,-1.0,-1.0,1.0,-0.999973,1.0,1.0,1.0,1.0,-1.0,-1.0,-0.957298,-0.999742,0.999945,0.962875,1.0,-1.0,1.0,0.999995,-1.0,1.0,1.0,1.0,-0.71118,-0.999871,0.999968,0.93598,1.0,-0.988484,1.0,-1.0,-1.0,1.0,-0.999997,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.999698,1.0,-1.0,1.0,-1.0,-1.0,0.986548,1.0,-1.0,-0.999987,1.0,1.0,1.0,1.0,-1.0,-1.0,0.993991,-1.0,-1.0,-1.0,1.0,0.98096,-1.0,1.0,-1.0,1.0,1.0,-0.999963,1.0,0.530214,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.994004,1.0,1.0,-1.0,-1.0,0.702034,-1.0,1.0,-1.0,-0.987462,1.0,-1.0,1.0,1.0,-0.999998,1.0,-0.999819,1.0,1.0,1.0,0.257038,-1.0,0.999993,1.0,1.0,-1.0,-1.0,0.999821,-1.0,-1.0,-0.993321,1.0,1.0,1.0,-1.0,-1.0,-0.957675,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.801821,1.0,0.999999,-1.0,-0.999992,-1.0,-1.0,-1.0,0.999999,-1.0,1.0,-1.0,-0.996628,1.0,1.0,0.9993,-1.0,-1.0,-0.997375,-1.0,-1.0,0.994735,1,1,1,0,1,0
